idx	aal_value	label	hemisphere	volume_mm3
0	1	Precentral_L	L	28208.000
1	2	Precentral_R	R	27048.000
2	3	Frontal_Sup_2_L	L	38960.000
3	4	Frontal_Sup_2_R	R	41008.000
4	5	Frontal_Mid_2_L	L	36056.000
5	6	Frontal_Mid_2_R	R	38880.000
6	7	Frontal_Inf_Oper_L	L	8304.000
7	8	Frontal_Inf_Oper_R	R	11192.000
8	9	Frontal_Inf_Tri_L	L	20232.000
9	10	Frontal_Inf_Tri_R	R	17208.000
10	11	Frontal_Inf_Orb_2_L	L	6512.000
11	12	Frontal_Inf_Orb_2_R	R	6992.000
12	13	Rolandic_Oper_L	L	7904.000
13	14	Rolandic_Oper_R	R	10648.000
14	15	Supp_Motor_Area_L	L	17176.000
15	16	Supp_Motor_Area_R	R	18968.000
16	17	Olfactory_L	L	2328.000
17	18	Olfactory_R	R	2304.000
18	19	Frontal_Sup_Medial_L	L	23936.000
19	20	Frontal_Sup_Medial_R	R	17072.000
20	21	Frontal_Med_Orb_L	L	5752.000
21	22	Frontal_Med_Orb_R	R	6848.000
22	23	Rectus_L	L	6816.000
23	24	Rectus_R	R	5960.000
24	25	OFCmed_L	L	4400.000
25	26	OFCmed_R	R	4968.000
26	27	OFCant_L	L	3544.000
27	28	OFCant_R	R	5184.000
28	29	OFCpost_L	L	4536.000
29	30	OFCpost_R	R	4488.000
30	31	OFClat_L	L	1576.000
31	32	OFClat_R	R	1504.000
32	33	Insula_L	L	14864.000
33	34	Insula_R	R	14160.000
34	37	Cingulate_Mid_L	L	15528.000
35	38	Cingulate_Mid_R	R	17624.000
36	39	Cingulate_Post_L	L	3704.000
37	40	Cingulate_Post_R	R	2680.000
38	41	Hippocampus_L	L	7456.000
39	42	Hippocampus_R	R	7568.000
40	43	ParaHippocampal_L	L	7824.000
41	44	ParaHippocampal_R	R	9056.000
42	45	Amygdala_L	L	1760.000
43	46	Amygdala_R	R	1984.000
44	47	Calcarine_L	L	18064.000
45	48	Calcarine_R	R	14888.000
46	49	Cuneus_L	L	12168.000
47	50	Cuneus_R	R	11392.000
48	51	Lingual_L	L	16760.000
49	52	Lingual_R	R	18400.000
50	53	Occipital_Sup_L	L	10928.000
51	54	Occipital_Sup_R	R	11304.000
52	55	Occipital_Mid_L	L	26120.000
53	56	Occipital_Mid_R	R	16784.000
54	57	Occipital_Inf_L	L	7528.000
55	58	Occipital_Inf_R	R	7912.000
56	59	Fusiform_L	L	18472.000
57	60	Fusiform_R	R	20144.000
58	61	Postcentral_L	L	31136.000
59	62	Postcentral_R	R	30584.000
60	63	Parietal_Sup_L	L	16520.000
61	64	Parietal_Sup_R	R	17776.000
62	65	Parietal_Inf_L	L	19576.000
63	66	Parietal_Inf_R	R	10760.000
64	67	SupraMarginal_L	L	10048.000
65	68	SupraMarginal_R	R	15792.000
66	69	Angular_L	L	9384.000
67	70	Angular_R	R	14016.000
68	71	Precuneus_L	L	28224.000
69	72	Precuneus_R	R	26120.000
70	73	Paracentral_Lobule_L	L	10792.000
71	74	Paracentral_Lobule_R	R	6688.000
72	75	Caudate_L	L	6440.000
73	76	Caudate_R	R	6888.000
74	77	Putamen_L	L	7992.000
75	78	Putamen_R	R	8496.000
76	79	Pallidum_L	L	2344.000
77	80	Pallidum_R	R	2240.000
78	83	Heschl_L	L	1800.000
79	84	Heschl_R	R	1992.000
80	85	Temporal_Sup_L	L	18368.000
81	86	Temporal_Sup_R	R	25128.000
82	87	Temporal_Pole_Sup_L	L	10280.000
83	88	Temporal_Pole_Sup_R	R	10704.000
84	89	Temporal_Mid_L	L	39536.000
85	90	Temporal_Mid_R	R	35272.000
86	91	Temporal_Pole_Mid_L	L	6040.000
87	92	Temporal_Pole_Mid_R	R	9496.000
88	93	Temporal_Inf_L	L	25600.000
89	94	Temporal_Inf_R	R	28456.000
90	95	Cerebellum_Crus1_L	L	20824.000
91	96	Cerebellum_Crus1_R	R	21184.000
92	97	Cerebellum_Crus2_L	L	15152.000
93	98	Cerebellum_Crus2_R	R	16936.000
94	99	Cerebellum_3_L	L	1088.000
95	100	Cerebellum_3_R	R	1656.000
96	101	Cerebellum_4_5_L	L	9000.000
97	102	Cerebellum_4_5_R	R	6888.000
98	103	Cerebellum_6_L	L	13552.000
99	104	Cerebellum_6_R	R	14360.000
100	105	Cerebellum_7b_L	L	4680.000
101	106	Cerebellum_7b_R	R	4272.000
102	107	Cerebellum_8_L	L	15096.000
103	108	Cerebellum_8_R	R	18464.000
104	109	Cerebellum_9_L	L	6952.000
105	110	Cerebellum_9_R	R	6472.000
106	111	Cerebellum_10_L	L	1152.000
107	112	Cerebellum_10_R	R	1272.000
108	113	Vermis_1_2	R	416.000
109	114	Vermis_3	R	1824.000
110	115	Vermis_4_5	R	5320.000
111	116	Vermis_6	R	2968.000
112	117	Vermis_7	R	1552.000
113	118	Vermis_8	R	1944.000
114	119	Vermis_9	R	1392.000
115	120	Vermis_10	R	896.000
116	121	Thal_AV_L	L	152.000
117	122	Thal_AV_R	R	200.000
118	123	Thal_LP_L	L	200.000
119	124	Thal_LP_R	R	224.000
120	125	Thal_VA_L	L	672.000
121	126	Thal_VA_R	R	624.000
122	127	Thal_VL_L	L	2120.000
123	128	Thal_VL_R	R	2072.000
124	129	Thal_VPL_L	L	1336.000
125	130	Thal_VPL_R	R	1280.000
126	131	Thal_IL_L	L	408.000
127	132	Thal_IL_R	R	408.000
128	133	Thal_Re_L	L	16.000
129	134	Thal_Re_R	R	8.000
130	135	Thal_MDm_L	L	936.000
131	136	Thal_MDm_R	R	1016.000
132	137	Thal_MDl_L	L	336.000
133	138	Thal_MDl_R	R	288.000
134	139	Thal_LGN_L	L	344.000
135	140	Thal_LGN_R	R	384.000
136	141	Thal_MGN_L	L	144.000
137	142	Thal_MGN_R	R	112.000
138	143	Thal_PuI_L	L	272.000
139	144	Thal_PuI_R	R	264.000
140	145	Thal_PuM_L	L	1480.000
141	146	Thal_PuM_R	R	1424.000
142	147	Thal_PuA_L	L	280.000
143	148	Thal_PuA_R	R	272.000
144	149	Thal_PuL_L	L	216.000
145	150	Thal_PuL_R	R	216.000
146	151	ACC_sub_L	L	1344.000
147	152	ACC_sub_R	R	1056.000
148	153	ACC_pre_L	L	5016.000
149	154	ACC_pre_R	R	5184.000
150	155	ACC_sup_L	L	4840.000
151	156	ACC_sup_R	R	4264.000
152	157	N_Acc_L	L	1304.000
153	158	N_Acc_R	R	1144.000
154	159	VTA_L	L	80.000
155	160	VTA_R	R	72.000
156	161	SN_pc_L	L	256.000
157	162	SN_pc_R	R	264.000
158	163	SN_pr_L	L	424.000
159	164	SN_pr_R	R	480.000
160	165	Red_N_L	L	456.000
161	166	Red_N_R	R	464.000
162	167	LC_L	L	40.000
163	168	LC_R	R	40.000
164	169	Raphe_D	R	144.000
165	170	Raphe_M	M	48.000
